id,name,link_url,details,photos
1,Beverly Aadland,https://en.wikipedia.org/wiki/Beverly_Aadland,"['September 16, 1942', 'Los Angeles, California, U.S.', 'Died January 5, 2010 (aged 67)', 'Lancaster, California, U.S.', 'Other names Woodsey, Little Wood Nymph, SC', 'Occupation Actress', 'Years active 1951–1959', 'Spouse(s) Maurice Jose de Leon', '(m. 1961; div. 1964)', 'Joseph E. McDonald', '(m. 1967; div. 1969)', 'Ronald Fisher (m. 1969)', 'Children 1', 'Beverly Elaine Aadland (September 16, 1942 – January 5, 2010) was an American film actress.[1]', 'She appeared in films including South Pacific. As a teenager, she co-starred in the Errol Flynn film Cuban Rebel Girls, and had a relationship with him.']",['https://upload.wikimedia.org/wikipedia/en/0/08/Beverly_Elaine_Aadland.jpg']
2,Mariann Aalda,https://en.wikipedia.org/wiki/Mariann_Aalda,"['This biography of a living person needs additional citations for verification.', '(August 2010)', ""This article's lead section may be too short to adequately summarize the key points. (July 2021)"", 'Mariann Aalda', 'Born May 7, 1948 (age 73)[1]', 'United States', 'Occupation Actress', 'Mariann Aalda is an American television, stage, film actress, performance artist, and stand-up comic.']",[]
3,Caroline Aaron,https://en.wikipedia.org/wiki/Caroline_Aaron,"['August 7, 1957 (age 64)', 'Richmond, Virginia, U.S.', 'Alma mater American University (B.A)', 'HB Studio', 'Occupation Actress, film producer', 'Years active 1982–present', 'Spouse(s) James Foreman (m. 1981)', 'Children 2', 'Relatives Josephine Abady (sister)', 'Caroline Sidney Aaron (née Abady; born August 7, 1957)[1] is an American actress.', ""She is known for her performances in films like Mike Nichols' Heartburn (1986) and Primary Colors (1998), as well as Woody Allen's Crimes and Misdemeanors (1989), Alice (1990), and Deconstructing Harry (1997), and Nora Ephron's Sleepless in Seattle (1993). She also appeared in Tim Burton's Edward Scissorhands (1990) and Stanley Tucci's Big Night (1996). More recently, she appeared in 21 Jump Street (2012) and its sequel 22 Jump Street (2014)."", 'She is also known for her work on television including guest roles on Wings, Frasier, Curb Your Enthusiasm, Desperate Housewives, Transparent, Madam Secretary, and The Good Fight.', ""Her Broadway roles include Woody Allen's Relatively Speaking, I Hate Hamlet, Social Security and The Iceman Cometh starring Jason Robards.[2]"", 'She is currently a regular on the critically acclaimed and Primetime Emmy Award winning show The Marvelous Mrs. Maisel (2017–present).']",[]
4,Diahnne Abbott,https://en.wikipedia.org/wiki/Diahnne_Abbott,"['Find sources: ""Diahnne Abbott"" – news · newspapers · books · scholar · JSTOR (February 2017) (Learn how and when to remove this template message)', 'Diahnne Abbott', 'Born January 1, 1945 (age 76)', 'New York City, U.S.', 'Other names Diahnne Eugenia Abbott', 'Diahnne Déa', 'Occupation Actress, singer', 'Years active 1976–present', 'Spouse(s) Robert De Niro', '(m. 1976; div. 1988)', 'Children Drena De Niro', 'Raphael De Niro', 'Diahnne Abbott (born January 1, 1945[1]) is an American actress and singer. She played supporting roles in films of the 1970s and 1980s, including Taxi Driver (1976).', ""Abbott was married to actor Robert De Niro from 1976 to 1988. They had a son, Raphael, who was named after the hotel in Rome where he was conceived. De Niro adopted Drena, Abbott's daughter from a previous marriage. Drena has appeared in several of her father's films, including Showtime (2002), Wag the Dog (1997), City by the Sea (2002) and The Intern (2015). De Niro and Abbott divorced in 1988."", 'Abbott portrayed the pornographic movie theatre box office clerk in Martin Scorsese\'s Taxi Driver (1976) opposite Robert De Niro. She has a cameo in the 1977 film New York, New York, in which she sings Fats Waller\'s song, ""Honeysuckle Rose"".[2]', 'She also played the object of De Niro\'s affections in Scorsese\'s 1983 film, The King of Comedy, as well as roles in the television series Crime Story (the character of Sonia) and the 1986 film Jo Jo Dancer, Your Life Is Calling (Mother). She is the cousin of singer Gregory Abbott, known for his 1986 song ""Shake You Down"".[3]']",[]
5,Rose Abdoo,https://en.wikipedia.org/wiki/Rose_Abdoo,"['November 28, 1962 (age 58)', 'Detroit, Michigan, U.S.', 'Alma mater Michigan State University', 'Occupation Actress, comedian', 'Years active 1985–present', ""Rose Marie Abdoo (born November 28, 1962) is an American actress and comedian, known for her roles as Stars Hollow's local mechanic, Gypsy, on Gilmore Girls and as Spanish teacher Señorita Rodriguez on That's So Raven.""]",[]
6,Paula Abdul,https://en.wikipedia.org/wiki/Paula_Abdul,"['Born Paula Julie Abdul', 'June 19, 1962 (age 59)', 'San Fernando, California, U.S.', 'Alma mater California State University, Northridge', 'Occupation', 'Singer dancer choreographer actress television personality', 'Years active 1978–present', 'Height 1.52 m (5 ft 0 in)', 'Spouse(s)', 'Emilio Estevez', '(m. 1992; div. 1994)', 'Brad Beckerman', '(m. 1996; div. 1998)', 'Musical career', 'Genres', 'R&B pop dance new jack swing', 'Instruments Vocals', 'Labels', 'Virgin Mercury[1] Concord Filament', 'Website paulaabdul.com', 'Paula Julie Abdul (born June 19, 1962)[2] is an American singer, dancer, choreographer, actress, and television personality. She began her career as a cheerleader for the Los Angeles Lakers at the age of 18 and later became the head choreographer for the Laker Girls, where she was discovered by The Jacksons.[3] After choreographing music videos for Janet Jackson, Abdul became a choreographer at the height of the music video era and soon thereafter she was signed to Virgin Records. Her debut studio album Forever Your Girl (1988) became one of the most successful debut albums at that time, selling seven million copies in the United States and setting a record for the most number-one singles from a debut album on the Billboard Hot 100 chart: ""Straight Up"", ""Forever Your Girl"", ""Cold Hearted"", and ""Opposites Attract"". Her second album Spellbound (1991) scored her two more Billboard Hot 100 chart toppers: ""Rush Rush"" and ""The Promise of a New Day"". Her six number one singles on the Billboard Hot 100 tie her with Ariana Grande and Diana Ross for seventh among the female solo performers who have topped the chart.[4]', 'Abdul was one of the original judges on the television series American Idol from 2002 to 2009, and has since appeared as a judge on The X Factor, Live to Dance, So You Think You Can Dance, and The Masked Dancer. She has received choreography credits in numerous films, including Can\'t Buy Me Love (1987), The Running Man (1987), Coming to America (1988), Action Jackson (1988), The Doors (1991), Jerry Maguire (1996), and American Beauty (1999). She has received 17 MTV Video Music Award nominations, winning five, as well as receiving the Grammy Award for Best Music Video for ""Opposites Attract"" in 1991. She received the Primetime Emmy Award for Outstanding Choreography twice for her work on The Tracey Ullman Show, and her own performance at the American Music Awards in 1990. Abdul was honored with her own star on the Hollywood Walk of Fame, and is the first entertainer to be honored with the Nickelodeon Kids\' Choice Awards\' Hall of Fame Award.']","['https://upload.wikimedia.org/wikipedia/commons/e/e4/Paula_Abdul_2011_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Paula_Abdul_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Paula_Abdul_2007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Paula_Abdul_Hollywood_Star.jpg']"
7,Donzaleigh Abernathy,https://en.wikipedia.org/wiki/Donzaleigh_Abernathy,"['Born August 5, 1957 (age 64)', 'Montgomery, Alabama, U.S.', 'Alma mater Emerson College', 'Occupation Actress, author, civil rights activist', 'Years active 1990–present', 'Parent(s) Ralph Abernathy', 'Juanita Abernathy', 'Donzaleigh Abernathy is an American actress, author and civil rights activist.[1][2][3]']",['https://upload.wikimedia.org/wikipedia/commons/b/b6/Donzaleigh_Abernathy_speaker_at_Virginia_Military_Institute.jpg']
8,Whitney Able,https://en.wikipedia.org/wiki/Whitney_Able,"['June 2, 1982 (age 39)', 'Houston, Texas, U.S.', 'Occupation Actress, model', 'Years active 2005–present', 'Spouse(s) Scoot McNairy', '(m. 2010; div. 2019)', 'Children 2', 'Whitney Nees Able (born June 2, 1982) is an American actress and model. She is best known for her roles in All the Boys Love Mandy Lane (2006) and Monsters (2010), and has been featured in Maxim magazine.']",[]
9,Candice Accola,https://en.wikipedia.org/wiki/Candice_Accola,"['King in 2015', 'Born Candice Rene Accola', 'May 13, 1987 (age 34)', 'Houston, Texas, U.S.', 'Occupation', 'Actresssingersongwriter', 'Years active 2006–present', 'Notable work', 'main role on The Vampire Diaries (as Caroline Forbes)', 'Spouse(s) Joe King (m. 2014)', 'Children 2', 'Candice Rene King (née Accola; born May 13, 1987)[1] is an American actress, singer, and songwriter. She is best known for her role as Caroline Forbes in The CW supernatural drama series The Vampire Diaries (2009–2017) and her recurring role as the same character on the spin-off series The Originals (2018) and Legacies (2021).']","['https://upload.wikimedia.org/wikipedia/commons/a/a8/Candice_Accola_by_Gage_Skidmore_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Candice_Accola_%289110368875%29.jpg']"
10,Amy Acker,https://en.wikipedia.org/wiki/Amy_Acker,"['Born Amy Louise Acker', 'December 5, 1976 (age 44)', 'Dallas, Texas, U.S.', 'Education Southern Methodist University (BFA)', 'Occupation Actress', 'Years active 1998–present', 'Spouse(s) James Carpinello (m. 2003)', 'Children 2', 'Website www.amyacker.com', ""Amy Louise Acker (born December 5, 1976[1]) is an American actress. She is best known for starring as Winifred Burkle and Illyria on the supernatural drama series Angel (2001–2004), as Kelly Peyton on the action drama series Alias (2005–2006), and as Root on the science-fiction drama series Person of Interest (2012–2016). From 2017 to 2019, she starred as Caitlin Strucker on the superhero drama series The Gifted, based on Marvel Comics' X-Men.""]","['https://upload.wikimedia.org/wikipedia/commons/1/18/Amy_Acker_at_Fan_Expo_2015_%2826841033473%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Amy_Acker%2C_James_Carpinello.jpg']"
